	neuroNER_ID	neuroNER_Name
336	ABA_REGION:215	Anterior pretectal nucleus
337	ABA_REGION:216	Cortical amygdalar area, posterior part, lateral zone, layer 1
338	ABA_REGION:217	Superior vestibular nucleus
339	ABA_REGION:218	Lateral posterior nucleus of the thalamus
340	ABA_REGION:219	Somatomotor areas, Layer 2/3
341	ABA_REGION:22	Posterior parietal association areas
342	ABA_REGION:220	Main olfactory bulb, granule layer
343	ABA_REGION:221	rubroreticular tract
344	ABA_REGION:222	Nucleus raphe obscurus
345	ABA_REGION:223	Arcuate hypothalamic nucleus
346	ABA_REGION:224	Cortical amygdalar area, posterior part, lateral zone, layer 2
347	ABA_REGION:225	Spinal vestibular nucleus
348	ABA_REGION:226	Lateral preoptic area
349	ABA_REGION:227	Anterior cingulate area, layer 6b
350	ABA_REGION:228	Main olfactory bulb, inner plexiform layer
351	ABA_REGION:229	sensory root of the trigeminal nerve
352	ABA_REGION:23	Anterior amygdalar area
353	ABA_REGION:230	Nucleus raphe pallidus
354	ABA_REGION:231	Anterior tegmental nucleus
355	ABA_REGION:232	Cortical amygdalar area, posterior part, lateral zone, layer 3
356	ABA_REGION:233	Anterolateral visual area, layer 5
357	ABA_REGION:234	Temporal association areas, layer 4
358	ABA_REGION:235	Lateral reticular nucleus
359	ABA_REGION:236	Main olfactory bulb, mitral layer
360	ABA_REGION:237	solitary tract
361	ABA_REGION:238	Nucleus raphe pontis
362	ABA_REGION:239	Anterior group of the dorsal thalamus
363	ABA_REGION:240	Cortical amygdalar area, posterior part, medial zone, layer 1
364	ABA_REGION:241	Posterior parietal association areas, layer 2/3
365	ABA_REGION:242	Lateral septal nucleus
366	ABA_REGION:243	Dorsal auditory area, layer 6b
367	ABA_REGION:244	Main olfactory bulb, outer plexiform layer
368	ABA_REGION:245	spinocervical tract
369	ABA_REGION:246	Midbrain reticular nucleus, retrorubral area
370	ABA_REGION:247	Auditory areas
371	ABA_REGION:248	Cortical amygdalar area, posterior part, medial zone, layer 2
372	ABA_REGION:249	Posterior auditory area, layer 6a
373	ABA_REGION:25	simple fissure
374	ABA_REGION:250	Lateral septal nucleus, caudal (caudodorsal) part
375	ABA_REGION:251	Primary auditory area, layer 2/3
376	ABA_REGION:252	Dorsal auditory area, layer 5
377	ABA_REGION:253	spinohypothalamic pathway
378	ABA_REGION:254	Retrosplenial area
379	ABA_REGION:255	Anteroventral nucleus of thalamus
380	ABA_REGION:256	Cortical amygdalar area, posterior part, medial zone, layer 3
381	ABA_REGION:257	posteromedial visual area, layer 6a
